inventor,patents,coworkers_patents,patents/coworkers_patents
DABROWSKI MICHAL,1,0.2,5.0
DABROWSKI ROMAN,12,0.3448275862068966,34.8
DABROWSKI WALDEMAR,2,0.0,0
DACA-ROSZAK PATRYCJA,1,0.6923076923076923,1.4444444444444444
DADLEZ MICHAL,2,0.7659574468085106,2.611111111111111
DAMAZIAK KRZYSZTOF,1,0.30851063829787234,3.2413793103448274
DAMS IWONA,1,1.878787878787879,0.532258064516129
DANEL ANDRZEJ,3,0.42857142857142855,7.0
DANIELEWICZ REGINA,1,3.0,0.3333333333333333
DANIELEWSKI MAREK,3,0.0,0
DANILECKI ARKADIUSZ,1,1.0434782608695652,0.9583333333333334
DANOWSKA MAGDALENA,5,1.8205128205128205,2.7464788732394365
DAROWSKI MAREK,2,0.5217391304347826,3.8333333333333335
DARZYNKIEWICZ EDWARD,4,1.0,4.0
DASTYCH JAROSLAW,9,0.7619047619047619,11.8125
DATTA JANUSZ,2,0.9130434782608695,2.1904761904761907
DAWIDCZYK PIOTR,2,0.16666666666666666,12.0
DEBEK CEZARY,1,0.14285714285714285,7.0
DEBNIAK TADEUSZ,5,4.529411764705882,1.103896103896104
DEBOWSKI MACIEJ,1,0.5833333333333334,1.7142857142857142
DEBOWSKI MARCIN,2,2.3333333333333335,0.8571428571428571
DEBSKI JANUSZ,1,0.2,5.0
DEBSKI PAWEL,7,14.333333333333334,0.4883720930232558
DEMBKOWSKI LESZEK,3,1.565217391304348,1.9166666666666665
DENDA HUBERT,1,0.6428571428571429,1.5555555555555554
DENDEK CEZARY,1,0.0,0
DENYS ANDRZEJ,1,2.090909090909091,0.4782608695652174
DEPCZYNSKI WOJCIECH,1,0.0,0
DEPTULA ANDRZEJ,4,1.3076923076923077,3.0588235294117645
DEREWONKO AGNIESZKA,3,0.9230769230769231,3.25
DERFLA SEBASTIAN,1,0.0,0
DESZCZYNSKI JAROSLAW,5,0.0,0
DIETZ HANS-JUERGEN,1,0.0,0
DLUGOSZ MACIEJ,1,0.0,0
DLUSKA EWA,1,0.0,0
DLUZNIEWSKI TOMASZ,2,0.0,0
DMOCH MAREK,1,0.0,0
DMOWSKA GRAZYNA,1,1.0,1.0
DMOWSKI LESLAW,1,0.0,0
DMYTROW IZABELA,2,0.0,0
DOBOSZ IRENA,1,0.0,0
DOBRIANSKI JURIJ,1,1.5,0.6666666666666666
DOBROWOLSKI JAN,1,0.1111111111111111,9.0
DOBROWOLSKI MARCIN,1,0.0,0
DOBRUCKI WLADYSLAW,1,0.5,2.0
DOBRZYCKI SLAWOMIR,2,0.0,0
DOBRZYNSKI PIOTR,2,1.1904761904761905,1.68
DOLEGA CEZARY,2,0.0,0
DOLEGOWSKA BARBARA,3,0.18681318681318682,16.058823529411764
DOLIPSKI MARIAN,1,1.3333333333333333,0.75
DOMANSKA-JANIK KRYSTYNA,1,0.1568627450980392,6.375
DOMANSKI DOMINIK,1,0.0,0
DOMANSKI KRZYSZTOF,16,0.39285714285714285,40.72727272727273
DOMANSKI MAREK,15,8.466666666666667,1.7716535433070866
DOMINIKOWSKI WLODZIMIERZ,1,0.3333333333333333,3.0
DOMZAL JERZY,3,2.8636363636363638,1.0476190476190477
