person_name_alias,coworker_name_alias,common_publications_count
ANDRYS DOMINIKA,DOBROWOLSKA AGNIESZKA,1
ANDRYSZEWSKI TOMASZ,FIALKOWSKI MARCIN,2
ANDRYSZEWSKI TOMASZ,CZERWINSKI WOJCIECH,1
ANDRYSZEWSKI TOMASZ,ANDRYSZEWSKI TOMASZ,3
ANDRYSZEWSKI TOMASZ,IWAN MICHALINA,1
ANDRYSZEWSKI TOMASZ,HOLDYNSKI MARCIN,2
ANDRYSZEWSKI TOMASZ,PALYS BARBARA,1
ANDRYSZEWSKI TOMASZ,ADAMKIEWICZ WITOLD,1
ANDRYSZEWSKI TOMASZ,OPALLO MARCIN,1
ANDRYSZEWSKI TOMASZ,CHIDAMBARAM ARUNRAJ,1
ANDRYSZEWSKI TOMASZ,SASHUK VOLODYMYR,1
ANDRYSZEWSKI TOMASZ,LISOWSKI WOJCIECH,1
ANDRYSZEWSKI TOMASZ,TALEAT ZAHRA,1
ANDRYSZEWSKI TOMASZ,DOLINSKA JOANNA,1
ANDRYSZEWSKI TOMASZ,RASSAEI LIZA,1
ANDRZEJEWSKA MARIOLA,ANDRZEJEWSKA MARIOLA,4
ANDRZEJEWSKA MARIOLA,KAZIMIERCZUK ZYGMUNT,4
ANDRZEJEWSKA MARIOLA,KAMINSKI JAROSLAW,4
ANDRZEJEWSKA MARIOLA,GORSKA AGATA,2
ANDRZEJEWSKI JAN,ANDRZEJEWSKI JAN,1
ANGIELSKI STEFAN,ANGIELSKI STEFAN,25
ANGIELSKI STEFAN,ROGULSKI JERZY,1
ANGIELSKI STEFAN,SZUTOWICZ ANDRZEJ,1
ANGIELSKI STEFAN,SIMPSON DAVIS P.,1
ANGIELSKI STEFAN,BIZON DOROTA,3
ANGIELSKI STEFAN,PAWELCZYK TADEUSZ,4
ANGIELSKI STEFAN,TAGGART JOHN V.,1
ANGIELSKI STEFAN,MORELL HELENA,1
ANGIELSKI STEFAN,LYSIAK WIESLAWA,1
ANGIELSKI STEFAN,LANDOWSKI JERZY,1
