inventor,patents,coworkers_patents
DOLIPSKI MARIAN,1,1.8571428571428572
DOMANSKA-JANIK KRYSTYNA,1,1.0
DOMANSKI KRZYSZTOF,51,6.333333333333333
DOMANSKI MAREK,38,27.333333333333332
DOMINIKOWSKI WLODZIMIERZ,2,2.0
DOMZAL JERZY,5,12.727272727272727
DONER KATARZYNA,1,2.6666666666666665
DORADZINSKI ROMAN,128,76.6
DRABENT KRZYSZTOF,1,1.6428571428571428
DRAMINSKI MICHAL,2,15.0
DRAZKOWSKA KAROLINA,4,4.0
DREAS AGNIESZKA,15,27.5
DRELA NADZIEJA,1,2.076923076923077
DREWNIAK LUKASZ,12,9.142857142857142
DROZD ALEKSANDRA,5,1.0
DROZD DOMINIK,4,38.5
DROZD-RZOSKA ALEKSANDRA,1,2.0
DROZDEK MAREK,5,7.0
DROZYNSKI DARIUSZ,1,2.25
DRYGAS JERZY,5,28.0
DRZEWINSKI WITOLD,6,13.666666666666666
DRZYMALA STANISLAW,1,2.0
DUBIN ADAM,1,3.6153846153846154
DUBIN GRZEGORZ,2,4.34
DUDA MICHAL,8,6.0
DUDZIEC BEATA,21,42.48780487804878
DUDZIK GRZEGORZ,1,2.108108108108108
DUDZINSKI KRZYSZTOF,25,5.0
DUL JAN,2,3.0
DULAK JOZEF,4,4.0476190476190474
DULINSKI ZBIGNIEW,4,10.5
DULKIEWICZ PIOTR,6,18.0
DUNIEC KAMILA,3,4.0
DWILINSKI ROBERT,120,39.27777777777778
DWORNICZEK EWA,3,2.5625
DWORNIKOWSKI DARIUSZ,1,3.142857142857143
DYBOWSKI BARTOSZ,1,1.0
DYBOWSKI KONRAD,9,28.375
DYCZEWSKI MICHAL,2,4.0
DYJAK SLAWOMIR,1,2.0
DYMECKA KINGA,2,2.5
DYMERSKI TOMASZ,1,1.0
DZIACHAN MACIEJ,6,23.25
DZIADEK JAROSLAW,12,6.666666666666667
DZIADUSZEK JERZY,18,14.0
DZIADZIUSZKO RAFAL,7,13.0
DZIECIELEWSKI IGOR,7,16.714285714285715
DZIEDUSZYCKA MARIA,6,42.142857142857146
DZIEDZIC MAGDALENA,2,6.588235294117647
DZIEDZIC PIOTR,1,4.0
DZIEDZICKA ANNA,2,3.0
DZIEDZIECH KAJETAN,1,4.428571428571429
DZIEGIEL PIOTR,6,6.76
DZIEGIELEWSKI MAREK,2,6.0
DZIEMBAJ ROMAN,5,4.695652173913044
DZIEMBOWSKI ANDRZEJ,4,4.0
DZIENIA ANDRZEJ,2,20.0
DZIERZBA KATARZYNA,6,18.058823529411764
DZIEWISZEK WOJCIECH,17,15.9
DZIEWIT LUKASZ,1,6.821428571428571
DZIEWULSKI PAWEL,1,4.666666666666667
DZIK TOMASZ,3,1.0
DZIUBAN JAN,2,1.0
DZIUBINSKI MAREK,27,10.8
DZIURDZIA BARBARA,9,7.666666666666667
DZIWINSKI EUZEBIUSZ,1,1.75
DZWOLAK WOJCIECH,1,1.2
DZWONEK KAROLINA,10,32.55555555555556
DZWONKOWSKI JANUSZ,1,4.666666666666667
ECKSTEIN MARIAN,2,2.0
EMPEL JOANNA,5,4.857142857142857
EPSZTAJN JAN,1,1.7777777777777777
FABISZEWSKA AGATA,5,7.666666666666667
FAC-DABROWSKA KAJA,2,14.0
FALKOWSKI LEONARD,26,41.0
FALKUS JAN,1,1.0
FEDER MARCIN,7,22.0
FEDORCZYK BARTLOMIEJ,5,4.4
FEDORUK-WYSZOMIRSKA AGNIESZKA,7,19.696969696969695
FEDUNIEWICZ-ZMUDA ANNA,5,14.333333333333334
FEJGIN JERZY,1,4.0
FIALKOWSKA EDYTA,5,1.0
FIALKOWSKI MARCIN,5,5.8
FIALKOWSKI WOJCIECH,1,5.0
FIC KRZYSZTOF,1,11.27027027027027
FICHNA JAKUB,1,6.0
FIDELUS JANUSZ,9,14.5
FIEDOROW RYSZARD,4,17.428571428571427
FIEDOT MARTA,1,1.0
FIGA JAN,3,1.0
FIGIEL PAWEL,1,4.4
FIGLEROWICZ MAREK,17,4.2592592592592595
FIGURA GRZEGORZ,3,5.0
FIJALKOWSKI KAROL,9,2.0
FILIP KATARZYNA,7,32.5
FILIP-PSURSKA BEATA,3,26.896551724137932
FILIPEK AGNIESZKA,4,26.666666666666668
FILIPEK ANNA,1,2.4285714285714284
FILIPEK SLAWOMIR,8,5.6
FIRCZUK MALGORZATA,1,9.222222222222221
FISZER AGNIESZKA,5,7.6
FITAK HANNA,23,51.5
FLIS JANUSZ,1,1.0
FLIS-KABULSKA IWONA,1,2.5
FLORCZUK WOJCIECH,1,4.25
FLORJANCZYK ZBIGNIEW,1,5.157894736842105
FLORKOWSKI MAREK,24,11.0
FLORYS KATARZYNA,10,16.677419354838708
FOJUTOWSKI ANDRZEJ,1,15.4
FOLEK STANISLAW,2,2.0
FORMANEK BOLESLAW,1,1.0
FORMELA ADAM,4,55.5
FORNALIK-WAJS ELZBIETA,1,1.0
FORONCEWICZ BARTOSZ,3,5.128205128205129
FORTUNA WOJCIECH,1,19.2
FOSZCZ DARIUSZ,1,1.0
FRACKOWIAK ELZBIETA,14,5.166666666666667
FRACKOWIAK RENATA,2,2.0
FRACZ WIESLAW,1,3.0
FRANCZYK ADRIAN,4,54.0625
FRANCZYK EWELINA,3,5.0
FRANIAK-PIETRYGA IDA,12,10.793103448275861
FRANICZEK ROMAN,3,6.769230769230769
FRANKOWSKI ANDRZEJ,1,39.0
FRANUS WOJCIECH,1,2.0
FULCZYK MAREK,58,57.93333333333333
FURMAN BARTLOMIEJ,7,5.638888888888889
